Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000220764,-0.649810922,-0.530517621,-0.013492581,-0.251535026,0.059713967
ENST00000367698,-0.649602726,-0.484798519,0.140504312,-0.370798206,0.101727469
ENST00000398131,-0.4586731,-0.162785836,0.358025425,-0.022079136,0.117301459
ENST00000507980,-0.633534629,-0.204097035,0.808389201,0.341365388,0.026760185
ENST00000645909,-0.95844472,-0.748643587,0.006991794,-0.716380748,0.07278087
ENST00000617605,-0.673657664,-0.757789279,0.067804181,0.011622342,-0.027142572
ENST00000320493,-0.754093553,-0.450186841,0.208872945,-0.235890187,0.042757513
ENST00000260682,-0.911947012,-0.683840224,0.067925472,-0.913250411,0.253453793
ENST00000495186,-0.501881377,-0.275844453,0.09112494,0.008593378,0.223585056
ENST00000461906,-0.966495231,-0.715668366,-0.077830949,-0.623560374,0.158680418
ENST00000554643,-0.584600358,-0.394538443,0.15278631,-0.190045977,0.127809922
ENST00000368087,-0.860492961,-0.821308165,0.049380495,-0.626606892,0.229406294
ENST00000522934,-1.061337602,-0.257201438,0.389244156,-0.080972825,-0.406260497
ENST00000361739,-0.864786245,-0.542309752,-0.214461181,-0.368916601,-0.223809186
ENST00000393088,-0.485294501,-0.203146157,-0.120605366,-0.277910583,0.133325957
ENST00000588750,-0.534087061,-0.441054654,0.03781703,-0.29538551,-0.214485186
ENST00000361789,-0.757708914,-0.575244791,-0.293809145,-0.439069427,-0.2059036
ENST00000334575,-0.690868785,-0.424769207,-0.146041745,-0.568288214,0.032126574
ENST00000205948,-0.609173736,-0.515019891,-0.077625198,-0.410982412,-0.112833436
ENST00000339600,-0.600168388,-0.558445218,-0.148691965,-0.312368321,-0.079517604
ENST00000361381,-0.65743885,-0.403878883,-0.103599657,-0.334741917,-0.327231753
ENST00000338380,-0.656884155,-0.548233735,-0.006804443,-0.656021727,-0.254832179
ENST00000362079,-0.716378539,-0.608257166,-0.204650792,-0.475236314,-0.305877913
ENST00000361453,-0.698824979,-0.45109965,-0.177432777,-0.392316908,-0.342256629
